Concurrent GList Multiple Insert 50 Avg Memory Usage: Physical: 0.34 bytes, Virtual: 0.11 bytes
Concurrent GSet Multiple Insert 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 100 Avg Memory Usage: Physical: 0.52 bytes, Virtual: 0.26 bytes
Concurrent GCounter Multiple Increment 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Map Multiple Insert 100 Avg Memory Usage: Physical: 2.08 bytes, Virtual: 1.69 bytes
Concurrent List Multiple Insert 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.22 bytes
Concurrent GList Multiple Insert 100 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.34 bytes
Concurrent GSet Multiple Insert 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 150 Avg Memory Usage: Physical: 0.13 bytes, Virtual: 0.91 bytes
Concurrent GCounter Multiple Increment 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Map Multiple Insert 150 Avg Memory Usage: Physical: 1.30 bytes, Virtual: 1.30 bytes
Concurrent List Multiple Insert 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.45 bytes
Concurrent GList Multiple Insert 150 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent GSet Multiple Insert 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 200 Avg Memory Usage: Physical: 0.35 bytes, Virtual: 0.18 bytes
Concurrent GCounter Multiple Increment 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Map Multiple Insert 200 Avg Memory Usage: Physical: 2.46 bytes, Virtual: 0.88 bytes
Concurrent List Multiple Insert 200 Avg Memory Usage: Physical: 2.31 bytes, Virtual: 25.39 bytes
Concurrent GList Multiple Insert 200 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.26 bytes
Concurrent GSet Multiple Insert 250 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 250 Avg Memory Usage: Physical: 4.03 bytes, Virtual: 66.96 bytes
Concurrent GCounter Multiple Increment 250 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 250 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 250 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 250 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Map Multiple Insert 250 Avg Memory Usage: Physical: 2.69 bytes, Virtual: 2.24 bytes
Concurrent List Multiple Insert 250 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent GList Multiple Insert 250 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent GSet Multiple Insert 300 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 300 Avg Memory Usage: Physical: 1.57 bytes, Virtual: 4.03 bytes
Concurrent GCounter Multiple Increment 300 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 300 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 300 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 300 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Map Multiple Insert 300 Avg Memory Usage: Physical: 1.34 bytes, Virtual: 0.67 bytes
Concurrent List Multiple Insert 300 Avg Memory Usage: Physical: 3.86 bytes, Virtual: 287.40 bytes
Concurrent GList Multiple Insert 300 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent GSet Multiple Insert 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 350 Avg Memory Usage: Physical: 0.45 bytes, Virtual: 0.22 bytes
Concurrent GCounter Multiple Increment 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 350 Avg Memory Usage: Physical: 0.34 bytes, Virtual: 0.34 bytes
Concurrent Map Multiple Insert 350 Avg Memory Usage: Physical: 2.02 bytes, Virtual: 1.79 bytes
Concurrent List Multiple Insert 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent GList Multiple Insert 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 25.09 bytes
Concurrent GSet Multiple Insert 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 400 Avg Memory Usage: Physical: 1.12 bytes, Virtual: 0.45 bytes
Concurrent GCounter Multiple Increment 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Map Multiple Insert 400 Avg Memory Usage: Physical: 9.41 bytes, Virtual: 27.99 bytes
Concurrent List Multiple Insert 400 Avg Memory Usage: Physical: 20.27 bytes, Virtual: 16.58 bytes
Concurrent GList Multiple Insert 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent GSet Multiple Insert 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Concurrent Orswot Multiple Insert 450 Avg Memory Usage: Physical: 3.58 bytes, Virtual: 2.46 bytes
Concurrent GCounter Multiple Increment 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
